month,year,rainfall,price
1,2018,50.6,1985.48
2,2018,58.9,1931.56
3,2018,86.9,1846.82
4,2018,102.2,1872.01
5,2018,115.6,1588.2
6,2018,120.2,1619.68
7,2018,129.2,1506.04
8,2018,121.5,1049.7
9,2018,88.7,1164.31
10,2018,81.9,1040.38
11,2018,37.0,1219.65
12,2018,18.8,1432.18
1,2019,37.8,1758.74
2,2019,63.4,2221.63
3,2019,89.5,1839.58
4,2019,91.0,1980.61
5,2019,101.4,2078.88
6,2019,131.8,1471.32
7,2019,97.5,1596.32
8,2019,98.9,1431.22
9,2019,64.1,1043.72
10,2019,60.1,1215.05
11,2019,40.9,1464.24
12,2019,29.3,1526.77
1,2020,46.6,1849.58
2,2020,67.1,1706.04
3,2020,64.7,2193.68
4,2020,103.3,1783.18
5,2020,130.2,1798.34
6,2020,131.8,1591.92
7,2020,135.2,1698.25
8,2020,97.5,1407.1
9,2020,86.5,1425.32
10,2020,50.4,1352.63
11,2020,55.9,1061.82
12,2020,28.2,1209.16
1,2021,42.7,1909.56
2,2021,75.0,1947.0
3,2021,96.3,1744.02
4,2021,83.0,1928.86
5,2021,118.5,1793.89
6,2021,99.3,1582.86
7,2021,101.6,1521.78
8,2021,103.7,1087.96
9,2021,74.9,1010.57
10,2021,59.4,1426.42
11,2021,35.5,1490.05
12,2021,34.7,1458.49
1,2022,44.3,1618.3
2,2022,54.5,1738.96
3,2022,99.6,2023.29
4,2022,93.0,2002.88
5,2022,113.5,1783.25
6,2022,126.1,1763.27
7,2022,109.3,1322.75
8,2022,97.2,865.83
9,2022,64.8,1469.76
10,2022,76.4,1236.23
11,2022,51.1,1481.69
12,2022,70.8,1832.14
1,2023,44.1,1656.61
2,2023,43.9,2013.62
3,2023,72.4,1780.86
4,2023,93.5,1793.76
5,2023,131.5,2008.42
6,2023,119.9,1916.38
7,2023,115.4,1296.28
8,2023,115.2,1403.88
9,2023,69.6,1214.18
10,2023,51.2,1052.37
11,2023,54.6,1793.89
12,2023,26.0,1749.24
1,2024,38.9,1764.15
2,2024,54.1,1847.0
3,2024,80.5,1912.5
4,2024,102.7,2004.77
5,2024,112.3,1707.48
6,2024,114.2,1809.11
7,2024,119.7,1299.99
8,2024,101.0,1463.99
9,2024,63.3,1369.3
10,2024,53.4,1428.3
11,2024,37.7,1146.78
12,2024,23.7,1680.21
1,2025,48.0,1714.42
2,2025,66.4,1729.29
3,2025,79.3,1867.92
4,2025,93.5,2044.96
5,2025,106.0,1824.69
6,2025,130.1,1595.67
