month,year,rainfall,price
1,2018,31.6,2121.6
2,2018,29.3,2242.85
3,2018,57.8,2279.93
4,2018,84.7,2228.63
5,2018,86.2,2109.61
6,2018,95.5,2185.43
7,2018,96.8,2014.0
8,2018,81.7,2061.53
9,2018,51.2,2032.13
10,2018,40.6,1979.3
11,2018,28.9,2119.18
12,2018,30.8,2210.58
1,2019,11.6,2162.16
2,2019,45.2,2294.95
3,2019,65.2,2501.67
4,2019,85.7,2343.24
5,2019,104.2,2279.45
6,2019,96.8,2228.27
7,2019,86.9,2116.01
8,2019,75.1,2091.85
9,2019,83.1,1973.77
10,2019,46.9,2002.41
11,2019,20.6,2194.99
12,2019,20.6,2139.82
1,2020,18.2,2300.11
2,2020,32.7,2324.73
3,2020,60.5,2301.23
4,2020,101.4,2366.0
5,2020,74.4,2297.41
6,2020,93.4,2280.89
7,2020,86.7,2170.7
8,2020,85.0,2184.45
9,2020,48.0,2100.8
10,2020,35.3,2101.43
11,2020,43.0,2208.73
12,2020,7.4,2295.59
1,2021,46.6,2371.77
2,2021,24.8,2333.01
3,2021,72.7,2347.98
4,2021,84.4,2419.19
5,2021,85.4,2333.53
6,2021,67.6,2221.8
7,2021,92.1,2157.19
8,2021,96.3,2107.87
9,2021,55.6,2175.53
10,2021,54.4,2109.27
11,2021,37.0,2234.11
12,2021,10.2,2318.94
1,2022,27.3,2327.09
2,2022,40.7,2388.84
3,2022,61.1,2469.59
4,2022,95.9,2358.22
5,2022,116.0,2282.03
6,2022,98.5,2363.13
7,2022,97.5,2240.37
8,2022,77.9,2204.65
9,2022,54.1,2262.84
10,2022,43.6,2196.5
11,2022,34.4,2298.05
12,2022,28.1,2378.85
1,2023,17.1,2375.75
2,2023,47.5,2492.61
3,2023,59.8,2487.42
4,2023,92.8,2441.3
5,2023,100.1,2423.9
6,2023,97.8,2439.11
7,2023,102.9,2368.18
8,2023,93.1,2283.19
9,2023,66.8,2248.96
10,2023,43.2,2275.41
11,2023,26.3,2360.68
12,2023,11.8,2504.85
1,2024,15.3,2387.51
2,2024,51.6,2551.2
3,2024,66.2,2564.5
4,2024,79.9,2470.56
5,2024,95.4,2445.07
6,2024,109.8,2420.37
7,2024,86.4,2351.28
8,2024,84.1,2297.69
9,2024,51.8,2325.17
10,2024,42.4,2302.56
11,2024,20.6,2387.86
12,2024,5.5,2359.42
1,2025,18.2,2490.99
2,2025,43.1,2635.53
3,2025,68.6,2569.49
4,2025,79.8,2512.76
5,2025,94.5,2514.29
6,2025,103.2,2429.99
